nCount_RNA,nFeature_RNA,percent.mt,cellType
19715,3487,9.60182602079635,Basal conjuctiva epithelium
20643,4765,7.67814755607228,Superficial conjunctiva epithelium
27483,4512,8.39064148746498,Superficial conjunctiva epithelium
57378,6629,7.08633971208477,Corneal wing cells
3737,1204,4.22799036660423,Corneal stroma keratocytes
31826,4407,4.70370137623327,Corneal wing cells
4555,1925,5.20307354555434,Limbal Niche
18636,3254,8.36552908349431,Basal conjuctiva epithelium
18377,3535,4.79403602328998,Corneal wing cells
19861,3817,7.59276974976084,Corneal epithelial superficial cells
20106,3436,7.96777081468218,Transit amplifying cells
19401,4011,9.16447605793516,Corneal wing cells
8925,2149,7.64145658263305,Basal conjuctiva epithelium
25930,4078,4.54300038565368,Corneal wing cells
16818,3556,3.18706148174575,Corneal stroma
2277,1106,4.74308300395257,Limbal fibroblasts
24046,3881,7.49812858687516,Basal conjuctiva epithelium
10804,3002,7.46019992595335,Corneal basal and suprabasal cells
44521,5964,4.01383616720199,Corneal stroma keratocytes
13007,2717,3.33666487276082,Corneal stroma
18170,4348,0.511832691249312,Limbal superficial  cells
11994,2598,9.45472736368184,Basal conjuctiva epithelium
26951,4822,7.59155504433973,Corneal basal and suprabasal cells
20431,4166,6.74465273359111,Basal conjuctiva epithelium
13617,2842,9.37063964162444,Basal conjuctiva epithelium
19110,4232,7.01726844583987,Corneal basal and suprabasal cells
58375,6773,8.77259100642398,Superficial conjunctiva epithelium
16643,3542,8.25572312684011,Basal conjuctiva epithelium
26517,4902,5.17781046121356,Superficial conjunctiva epithelium
24431,3936,1.98927591993778,Corneal stroma
13793,3439,4.32828246211847,Corneal stroma
18028,4001,7.7379631684047,Corneal basal and suprabasal cells
21415,3722,7.06514125612888,Basal conjuctiva epithelium
23061,3755,7.22865443822904,Basal conjuctiva epithelium
22646,4238,5.82442815508258,Transit amplifying cells
20881,4010,8.17968488099229,Basal conjuctiva epithelium
19840,3735,2.32358870967742,Corneal stroma
24400,5048,6.31147540983607,Corneal basal and suprabasal cells
39494,5991,9.67488732465691,Limbal Niche
17821,4294,6.81218786824533,Corneal epithelial superficial cells
29631,4360,7.73176740575748,Limbal Niche
6298,1997,8.49476024134646,Corneal stroma keratocytes
28589,4002,8.42631781454406,Corneal wing cells
8688,2494,8.98941068139963,Basal conjuctiva epithelium
21033,3861,4.73541577521038,Basal conjuctiva epithelium
