nCount_RNA,nFeature_RNA,percent.mt,cellType
1696,798,12.6179245283019,Conjuctival epithelium
2042,905,11.949069539667,Corneal epithelium
2993,981,11.1259605746742,Ocular epithelium
1063,525,13.6406396989652,Conjuctival epithelium
2068,910,12.6692456479691,Conjuctival epithelium
1251,603,13.9888089528377,Corneal epithelium
1143,645,9.88626421697288,Corneal epithelium
1268,610,11.198738170347,Conjuctival epithelium
2482,928,13.5374697824335,Ocular epithelium
2208,923,11.0960144927536,Ocular epithelium
1107,546,11.6531165311653,Ocular epithelium
1195,694,6.69456066945607,Corneal epithelium
1372,620,13.7026239067055,Corneal epithelium
1319,700,9.62850644427597,Ocular epithelium
2449,934,11.9640669661086,Conjuctival epithelium
1243,577,8.2864038616251,Ocular epithelium
1062,606,9.51035781544256,Corneal epithelium
2512,1064,9.07643312101911,Ocular epithelium
1107,553,9.30442637759711,Corneal epithelium
1486,772,12.5841184387618,Corneal epithelium
1397,647,9.87831066571224,Corneal epithelium
1246,641,5.29695024077047,Corneal epithelium
1183,614,10.6508875739645,Conjuctival epithelium
1644,765,9.18491484184915,Corneal epithelium
1058,543,11.2476370510397,Conjuctival epithelium
1165,521,13.3047210300429,Conjuctival epithelium
1047,514,13.2760267430755,Ocular epithelium
1944,820,13.5802469135802,Conjuctival epithelium
1537,738,5.530253741054,Corneal epithelium
1497,626,10.4876419505678,Ocular epithelium
1235,647,7.93522267206478,Corneal epithelium
1060,675,11.2264150943396,Conjuctival epithelium
1819,755,11.8746564046179,Limbal epithelium
1043,657,10.0671140939597,Conjuctival epithelium
1392,696,12.2126436781609,Ocular epithelium
1219,550,9.51599671862182,Ocular epithelium
3767,1336,14.1491903371383,Corneal epithelium
1315,661,10.4182509505703,Corneal epithelium
1108,523,13.4476534296029,Ocular epithelium
1864,760,9.44206008583691,Ocular epithelium
2838,1070,12.2269203664552,Ocular epithelium
1362,686,9.32452276064611,Conjuctival epithelium
1378,668,10.0870827285922,Corneal epithelium
1737,856,12.5503742084053,Conjuctival epithelium
1891,920,9.67741935483871,Corneal epithelium
1637,769,10.568112400733,Ocular epithelium
1566,637,11.8135376756066,Ocular epithelium
1436,678,13.9972144846797,Conjuctival epithelium
1277,670,13.1558339859045,Corneal epithelium
1007,601,10.7249255213505,Corneal epithelium
1338,636,10.762331838565,Corneal epithelium
2109,943,8.20293978188715,Ocular epithelium
1084,640,6.91881918819188,Corneal epithelium
1377,736,6.02759622367465,Corneal epithelium
4496,1662,9.91992882562278,Ocular epithelium
1651,756,11.7504542701393,Ocular epithelium
1130,520,10.7079646017699,Ocular epithelium
1155,576,11.5151515151515,Conjuctival epithelium
1549,717,8.97353131052292,Corneal epithelium
1195,540,11.3807531380753,Ocular epithelium
1189,638,7.98990748528175,Ocular epithelium
